Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Unique Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Unique Measure Definition Score,Unique Measure Definition Max Score,Standard Measure Score,Standard Measure Max Score,Business Documentation Score,Business Documentation Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Score,DAX Reference Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Good,TPID Count,COUNT( Account[TPID] ),Simple Aggregation,Yes,Yes - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,Yes - This measure aligns with enterprise standards as it represents a simple aggregation (COUNT) commonly used in business reporting.,Yes - The calculation logic is straightforward and easy to understand as it counts the TPID column.,"Low - The measure uses a simple COUNT function without nested logic, making it low complexity.",Yes - The name clearly reflects the calculation (counting TPIDs) and follows naming conventions.,"No - The measure lacks a description, which would improve clarity for business users.","Yes - The formula uses fully qualified column references (Account[TPID]), adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,"Counts the number of TPIDs in the Account table, providing a fundamental metric for analysis.",Ensure all measures have a description to improve business user accessibility and understanding.,No changes needed as the naming convention is already clear and descriptive.
Account,Warning,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",Calculated Measure,Yes,Yes - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure is specific to the business context and does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not immediately clear without a description explaining the purpose of filtering for 'Has Premier Unified'.,"Medium - The measure uses CALCULATE with KEEPFILTERS, which adds moderate complexity to the formula.",No - The name uses abbreviations ('#' and 'w/') which are not business-friendly or self-explanatory.,"No - The measure lacks a description, which would improve clarity for business users.","Yes - The formula uses fully qualified column references (Account[Has Premier Unified]), adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,"Counts accounts with Premier or Unified status, providing insights into account segmentation.",Add a description to explain the business purpose of filtering for 'Has Premier Unified'.,"Rename the measure to avoid abbreviations and make it more descriptive, e.g., 'Accounts_With_Premier_Or_Unified'."
Account,Issue,ATQ Latest,AVERAGE(Account[ATQ]),Simple Aggregation,Yes,Yes - CRITICAL LOGIC: The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures and appears to be specific to the business context.,No - The calculation logic is not self-explanatory without a description explaining the purpose of averaging the ATQ column.,"Low - The measure uses a simple AVERAGE function without nested logic, making it low complexity.",No - The name does not clearly describe the calculation or business purpose. 'Latest' is ambiguous and does not align with the formula.,"No - The measure lacks a description, which would improve clarity for business users.","Yes - The formula uses fully qualified column references (Account[ATQ]), adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,"Calculates the average value of the ATQ column, which may represent a metric specific to the business.",Add a description to explain the business purpose of averaging the ATQ column.,"Rename the measure to better reflect the calculation and business purpose, e.g., 'Average_ATQ'."
Account,Issue,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),Simple Aggregation,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The measure lacks a description, making it unclear to business users what 'Understands Strategic Priorities' represents.",Low - The formula uses a simple AVERAGE function without nested logic or complexity.,No - The name is descriptive but overly verbose and does not follow concise naming conventions.,"No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses fully qualified column references (e.g., Account[UnderstandsStrategicPriorities]).",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,Evaluates the average understanding of strategic priorities for accounts.,Add a clear description to explain the business purpose of this measure. Consider aligning it with enterprise standards if applicable.,"Simplify the name to make it concise while retaining its business meaning, e.g., 'Strategic_Priorities_Avg'."
Account,Issue,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),Simple Aggregation,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The measure lacks a description, making it unclear to business users what 'Identify Right Solutions Based on Needs' represents.",Low - The formula uses a simple AVERAGE function without nested logic or complexity.,No - The name is descriptive but overly verbose and does not follow concise naming conventions.,"No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses fully qualified column references (e.g., Account[IdentifyRightSolutionsBasedonNeeds]).",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,Evaluates the average identification of right solutions based on account needs.,Add a clear description to explain the business purpose of this measure. Consider aligning it with enterprise standards if applicable.,"Simplify the name to make it concise while retaining its business meaning, e.g., 'Solutions_Needs_Avg'."
Account,Warning,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",Calculated Measure,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The measure lacks a description, and the use of nested functions makes the logic harder to understand.","Medium - The formula uses nested functions, including IF and AVERAGE, which increases complexity slightly.",No - The name is not descriptive enough and uses abbreviations ('ATQ') that may not be clear to business users.,"No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses fully qualified column references (e.g., Account[ATQ]).",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,Calculates the delta of average ATQ values for accounts.,Add a clear description to explain the business purpose of this measure. Simplify the formula if possible to reduce complexity.,"Rename the measure to avoid abbreviations and make it more descriptive, e.g., 'Delta_Average_ATQ'."
Account,Issue,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not self-explanatory due to the use of nested IF and AVERAGE functions without clear documentation or description.,"Medium - The measure uses nested functions but is not overly complex. However, the logic could be simplified for better readability.",No - The name does not clearly reflect the calculation logic or business purpose. It is somewhat cryptic and lacks clarity.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The formula uses fully qualified column references, which adhere to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,Evaluate the average delta for understanding strategic priorities across accounts.,Simplify the calculation logic and provide a clear description to make the measure more accessible to business users.,"Rename the measure to better reflect its calculation logic and business purpose, such as 'Average Delta Strategic Priorities'."
Account,Issue,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not self-explanatory due to the use of nested IF and AVERAGE functions without clear documentation or description.,"Medium - The measure uses nested functions but is not overly complex. However, the logic could be simplified for better readability.",No - The name does not clearly reflect the calculation logic or business purpose. It is somewhat cryptic and lacks clarity.,"No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The formula uses fully qualified column references, which adhere to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,Evaluate the average delta for identifying the right solutions based on needs across accounts.,Simplify the calculation logic and provide a clear description to make the measure more accessible to business users.,"Rename the measure to better reflect its calculation logic and business purpose, such as 'Average Delta Right Solutions'."
Account,Critical,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is overly complex with nested functions and lacks a description to explain its purpose.,"High - The measure uses multiple nested functions and complex logic, making it difficult to understand and maintain.","Yes - The name is clear and descriptive, reflecting the calculation logic and business purpose.","No - The measure lacks a description, making it difficult for business users to understand its purpose.","Yes - The formula uses fully qualified column references, which adhere to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.600,0.200,1.000,Calculate the percentage of accounts with an executive sponsor.,Simplify the calculation logic to reduce complexity and improve readability. Provide a clear description to explain the measure's purpose.,"The name is clear and descriptive, but ensure it aligns with enterprise standards for naming conventions."
Account,Issue,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),Simple Aggregation,Yes,Yes - CRITICAL LOGIC: Answer 'Yes' because the formula is unique and does not duplicate other measures.,No - The measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,No - The calculation logic is not self-explanatory as the measure name does not clearly indicate it is an average calculation.,"Low - The formula is simple, using a single AVERAGE function without nested logic.",No - The name does not clearly reflect the calculation logic (average) and includes ambiguous terms like 'Latest'.,"No - The measure lacks a description, making it unclear for business users.",Yes - The formula uses fully qualified column references (Account[HelpsMaximizeSolutions]).,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,Provides the average value of HelpsMaximizeSolutions for accounts.,Consider adding a description to explain the business purpose of the measure and clarify its calculation logic. Ensure the measure aligns with enterprise standards.,Rename the measure to 'Average_Helps_Maximize_Solutions' to clearly reflect the calculation logic and avoid ambiguous terms like 'Latest'.
