Table Name,Issue_Severity,Measure Name,Measure Formula,AI Classification,Calculation Type,Have Same Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Duplicate Measure Definition Score,Duplicate Measure Definition Max Score,Standard Library Measures Score,Standard Library Measures Max Score,Business Documentation Quality Score,Business Documentation Quality Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Standards Score,DAX Reference Standards Max Score,AI Confidence,Overall Score,Calculation Logic Score,Naming Score,Business Value,Technical Quality,Standardization Level,Business Purpose,User Friendliness,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Warning,Account.TPID Count,,Good,Simple Aggregation,"No - The measure uses a simple COUNT function specific to the TPID column, and no duplicates were identified.",Yes - Counting unique IDs is a common and standardized business measure.,Yes - The calculation logic is straightforward and easy to understand.,Low - The measure uses a single aggregation function without any additional complexity.,Yes - The name clearly reflects the calculation and aligns with enterprise naming standards.,"No - The measure lacks a description, which would help clarify its business purpose.","Yes - The DAX formula uses fully qualified column references, which is correct and consistent.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Excellent,Enterprise,"Counts the number of unique TPIDs in the Account table, which can be used for reporting on account volume.",High,The measure is well-defined and follows standard calculation logic. No changes are necessary.,Add a description to clarify the business purpose of the measure.
Account,Warning,Account.# Accounts w/ Unified or Premier,,Good,Calculated Measure,"No - The measure uses a CALCULATE function with a specific filter, and no duplicates were identified.",Yes - The measure aligns with standard business reporting needs for filtering and counting specific account types.,Yes - The calculation logic is clear and uses a standard DAX pattern with CALCULATE and KEEPFILTERS.,"Medium - The measure involves filtering and aggregation, which adds moderate complexity.",No - The name uses a non-standard abbreviation ('#') and could be more descriptive.,"No - The measure lacks a description, which would help clarify its business purpose.","Yes - The DAX formula uses fully qualified column references, which is correct and consistent.",0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.300,0.400,0.200,0.400,0.200,0.200,0.800,0.700,0.700,0.700,Medium,Good,Enterprise,"Counts the number of accounts with either Unified or Premier status, useful for segmentation and analysis.",Medium,The measure is well-defined but could benefit from a description to clarify its purpose.,Avoid abbreviations like '#' in the name. Use a more descriptive name such as 'Count of Accounts with Unified or Premier'.
Account,Issue,Account.ATQ Latest,,Fair,Simple Aggregation,No - The measure uses a unique AVERAGE function on the ATQ column.,No - The measure does not align with standard business measures and appears to be ad-hoc.,Yes - The calculation logic is simple and easy to understand.,Low - The measure uses a single aggregation function without additional complexity.,No - The name is not descriptive enough to explain the purpose of the measure.,"No - The measure lacks a description, which would help clarify its business purpose.","Yes - The DAX formula uses fully qualified column references, which is correct and consistent.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.800,0.550,0.500,0.600,Medium,Good,Ad_Hoc,"Calculates the average ATQ score for accounts, which may be used for performance analysis.",Medium,Consider whether this measure aligns with enterprise standards or if it is an ad-hoc calculation.,"Provide a more descriptive name, such as 'Average ATQ Score', and add a description to clarify the business purpose."
Account,Issue,Account.Delta ATQ,,Fair,Calculated Measure,"Yes - The measure has a similar structure and logic to other measures in the dataset, such as 'Account.Delta Understands Strategic Priorities' and 'Account.Delta Identify Right Solutions Based on Needs'.",No - The measure does not align with common enterprise-standard measures like Total Sales or YoY Growth. It appears to be specific to the dataset.,No - The calculation logic is not self-explanatory due to the lack of a description and unclear business context for the measure.,"Low - The measure uses a simple IF statement with an AVERAGE function, which is not overly complex.",No - The name does not clearly describe the calculation logic or business purpose. It is unclear what 'Delta ATQ' represents.,"No - The measure lacks a description, making it difficult to understand its business purpose.","Yes - The DAX formula uses fully qualified column references, which is correct and consistent.",0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.800,0.450,0.300,0.600,Medium,Fair,Ad_Hoc,"The measure seems to calculate the average delta of ATQ values, but the business purpose is unclear due to the lack of description.",Low,Avoid duplicating measure definitions unless they serve distinct business purposes. Provide a clear description of the measure's business purpose and calculation logic.,Rename the measure to clearly reflect its calculation and business purpose. Avoid abbreviations like 'ATQ' unless they are well-known within the organization.
Account,Issue,Account.Delta Understands Strategic Priorities,,Fair,Calculated Measure,"Yes - The measure has a similar structure and logic to other measures in the dataset, such as 'Account.Delta ATQ' and 'Account.Delta Identify Right Solutions Based on Needs'.",No - The measure does not align with common enterprise-standard measures like Total Sales or YoY Growth. It appears to be specific to the dataset.,No - The calculation logic is not self-explanatory due to the lack of a description and unclear business context for the measure.,"Low - The measure uses a simple IF statement with an AVERAGE function, which is not overly complex.",No - The name does not clearly describe the calculation logic or business purpose. It is unclear what 'Delta Understands Strategic Priorities' represents.,"No - The measure lacks a description, making it difficult to understand its business purpose.","Yes - The DAX formula uses fully qualified column references, which is correct and consistent.",0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.800,0.450,0.300,0.600,Medium,Fair,Ad_Hoc,"The measure seems to calculate the average delta of 'Understands Strategic Priorities' values, but the business purpose is unclear due to the lack of description.",Low,Avoid duplicating measure definitions unless they serve distinct business purposes. Provide a clear description of the measure's business purpose and calculation logic.,Rename the measure to clearly reflect its calculation and business purpose. Avoid overly long names and ensure clarity.
Account,Issue,Account.Delta Identify Right Solutions Based on Needs,,Fair,Calculated Measure,"Yes - The measure has a similar structure and logic to other measures in the dataset, such as 'Account.Delta ATQ' and 'Account.Delta Understands Strategic Priorities'.",No - The measure does not align with common enterprise-standard measures like Total Sales or YoY Growth. It appears to be specific to the dataset.,No - The calculation logic is not self-explanatory due to the lack of a description and unclear business context for the measure.,"Low - The measure uses a simple IF statement with an AVERAGE function, which is not overly complex.",No - The name does not clearly describe the calculation logic or business purpose. It is overly long and not user-friendly.,"No - The measure lacks a description, making it difficult to understand its business purpose.","Yes - The DAX formula uses fully qualified column references, which is correct and consistent.",0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.800,0.450,0.300,0.600,Medium,Fair,Ad_Hoc,"The measure seems to calculate the average delta of 'Identify Right Solutions Based on Needs' values, but the business purpose is unclear due to the lack of description.",Low,Avoid duplicating measure definitions unless they serve distinct business purposes. Provide a clear description of the measure's business purpose and calculation logic.,Rename the measure to clearly reflect its calculation and business purpose. Avoid overly long names and ensure clarity.
Account,Issue,Account.Delta Helps Maximize Solutions Value,,Fair,Calculated Measure,"Yes - The measure has a similar structure to other 'Delta' measures, differing only in the column referenced.",No - The measure does not align with common enterprise standards like Total Sales or YoY Growth.,No - The calculation logic is not intuitive and lacks a description to explain its purpose.,"Medium - The measure uses nested functions and conditional logic, which adds moderate complexity.","No - The name is descriptive but overly verbose and does not follow a concise, standardized naming convention.","No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The measure uses fully qualified column references, adhering to DAX standards.",0.000,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.900,0.400,0.200,0.600,Medium,Fair,Ad_Hoc,"Tracks the delta for 'Helps Maximize Solutions' metric, but its exact business use case is unclear.",Low,Consider simplifying the logic or providing a clear description to explain the purpose of the measure. Evaluate if this measure is truly necessary or if it duplicates existing functionality.,"Adopt a concise and standardized naming convention, such as 'Delta_Helps_Maximize_Solutions'."
Account,Issue,Account.Delta Joint Planning Addresses Needs,,Fair,Calculated Measure,"Yes - The measure has a similar structure to other 'Delta' measures, differing only in the column referenced.",No - The measure does not align with common enterprise standards like Total Sales or YoY Growth.,No - The calculation logic is not intuitive and lacks a description to explain its purpose.,"Medium - The measure uses nested functions and conditional logic, which adds moderate complexity.","No - The name is descriptive but overly verbose and does not follow a concise, standardized naming convention.","No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The measure uses fully qualified column references, adhering to DAX standards.",0.000,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.900,0.400,0.200,0.600,Medium,Fair,Ad_Hoc,"Tracks the delta for 'Joint Planning Addresses Needs' metric, but its exact business use case is unclear.",Low,Consider simplifying the logic or providing a clear description to explain the purpose of the measure. Evaluate if this measure is truly necessary or if it duplicates existing functionality.,"Adopt a concise and standardized naming convention, such as 'Delta_Joint_Planning_Needs'."
Account,Warning,Account.Joint Planning Addresses Needs,,Good,Simple Aggregation,No - The measure has a unique calculation logic compared to other measures.,No - The measure does not align with common enterprise standards like Total Sales or YoY Growth.,Yes - The calculation logic is straightforward and uses a simple aggregation function.,"Low - The measure uses a single aggregation function, making it simple and easy to understand.","No - The name is descriptive but overly verbose and does not follow a concise, standardized naming convention.","No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The measure uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.900,0.550,0.500,0.600,Medium,Good,Ad_Hoc,Calculates the average value for 'Joint Planning Addresses Needs'.,Medium,No changes needed for the calculation logic as it is simple and clear.,"Adopt a concise and standardized naming convention, such as 'Joint_Planning_Needs'."
Account,Warning,Account.% of Accounts with sep,,Good,Ratio Percentage,"Yes - The formula is identical to other measures except for the filter condition, which changes based on the column being filtered.",Yes - Percentage-based measures are common in business intelligence and align with standard reporting needs.,Yes - The calculation logic is straightforward and uses clear variable names for numerator and denominator.,Low - The measure uses simple aggregation and filtering with no advanced DAX constructs.,Yes - The name clearly reflects the calculation and business purpose.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.100,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculate the percentage of accounts with a specific attribute (sep).,High,Consider consolidating similar measures into a single parameterized measure to reduce redundancy.,Ensure all measures have descriptions to improve clarity and usability for business users.
