Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Overall_Score,Max_Overall_Score,Confidence_Score,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
DimCustomer,# Accounts,DISTINCTCOUNT(DimCustomer[TPID]),,good,No,,No,,No,,Yes,,# Accounts -> DimCustomer + DISTINCTCOUNT(DimCustomer[TPID]),"The name '# Accounts' is self-explanatory as it clearly indicates it counts accounts, which aligns with the context showing DISTINCTCOUNT of TPID.",The name '# Accounts' accurately reflects the calculation of distinct count of TPID in the DimCustomer table.,"The abbreviation '#' is universally understood to mean 'number of', making the name clear and non-cryptic.",1.6999999999999997,1.6999999999999997,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00
DimCustomer,Step1Done,"if(OR(ISFILTERED(DimCustomer[TPIDTxt]),ISFILTERED(DimCustomer[TP Name Search])),""Yes"",""No"")",,critical,No,,No,,No,,No,,"Step1Done -> DimCustomer + if(OR(ISFILTERED(DimCustomer[TPIDTxt]),ISFILTERED(DimCustomer[TP Name Search])),""Yes"",""No"")",The name 'Step1Done' is not self-explanatory as it does not provide any indication of what the measure is calculating or its business purpose.,"The name 'Step1Done' does not reflect the calculation, which checks if specific filters are applied and returns 'Yes' or 'No'. The name does not indicate this logic.",There are no problematic abbreviations in the name 'Step1Done'.,0.8,1.6999999999999997,0.47058823529411775,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.2,0.0,0.4,0.4,0.4,1,RED,#FF0000
DimPartner,# Partners,COUNT(DimPartner[PartnerKey]),,warning,No,,No,,No,,No,,# Partners -> DimPartner + COUNT(DimPartner[PartnerKey]),"The name '# Partners' is self-explanatory as it clearly indicates it counts partners, which aligns with the context showing COUNT of PartnerKey.",The name '# Partners' accurately reflects the calculation of counting PartnerKey in the DimPartner table.,"The abbreviation '#' is universally understood to mean 'number of', making the name clear and non-cryptic.",1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimSourceRefreshDetails,LastReportRefresh,"CONCATENATE(""Report last published: "",MAX(DimSourceRefreshDetails[LastReportRefreshDate]))",,warning,No,,No,,No,,No,,"LastReportRefresh -> DimSourceRefreshDetails + CONCATENATE(""Report last published: "",MAX(DimSourceRefreshDetails[LastReportRefreshDate]))","The name 'LastReportRefresh' is self-explanatory as it indicates the measure provides information about the last report refresh, which aligns with the context showing concatenation of the last refresh date.","The name 'LastReportRefresh' accurately reflects the calculation, which concatenates a message with the last refresh date.",There are no problematic abbreviations in the name 'LastReportRefresh'.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimSourceRefreshDetails,TXT Revenue Refresh LINE,"
""🕘 MSXI refreshed ""
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""PBIX"")) 
& "", incl. ACR data from "" 
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""OCDM Azure Usage""))",,warning,No,,No,,No,,No,,"TXT Revenue Refresh LINE -> DimSourceRefreshDetails + 
""🕘 MSXI refreshed ""
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""PBIX"")) 
& "", incl. ACR data from "" 
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""OCDM Azure Usage""))","The name 'TXT Revenue Refresh LINE' is self-explanatory as it indicates the measure provides a text-based message about revenue refresh details, which aligns with the context showing concatenation of refresh dates and categories.","The name 'TXT Revenue Refresh LINE' accurately reflects the calculation, which generates a text message about revenue refresh details.","The abbreviations 'TXT' and 'LINE' are standard and widely understood, making the name clear and non-cryptic.",1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimSourceRefreshDetails,Upstream Source Refreshed,"CONCATENATE(""Upstream source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage""))",,warning,No,,No,,No,,No,,"Upstream Source Refreshed -> DimSourceRefreshDetails + CONCATENATE(""Upstream source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage""))","The name 'Upstream Source Refreshed' is self-explanatory as it indicates the measure provides information about the last refresh of an upstream source, which aligns with the context showing concatenation of the last refresh date for a specific data category.","The name 'Upstream Source Refreshed' accurately reflects the calculation, which provides the last refresh date for an upstream source.",There are no problematic abbreviations in the name 'Upstream Source Refreshed'.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimSourceRefreshDetails,ADG Source Refreshed,"CONCATENATE(""Upstream ADG source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""AzureDateGrain""))",,warning,No,,No,,No,,No,,"ADG Source Refreshed -> DimSourceRefreshDetails + CONCATENATE(""Upstream ADG source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""AzureDateGrain""))","The name 'ADG Source Refreshed' is self-explanatory as it indicates the measure provides information about the last refresh of the ADG source, which aligns with the context showing concatenation of the last refresh date for the 'AzureDateGrain' data category.","The name 'ADG Source Refreshed' accurately reflects the calculation, which provides the last refresh date for the ADG source.",The abbreviation 'ADG' is a standard term in the context of AzureDateGrain and is not cryptic.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Security Measures,Count of TPID in Security Override,"
// FOR SECURITY MODEL. DO NOT EDIT
COUNT ( 'DimSecurityOverride'[TPID] )",,warning,No,,No,,No,,No,,"Count of TPID in Security Override -> Security Measures + 
// FOR SECURITY MODEL. DO NOT EDIT
COUNT ( 'DimSecurityOverride'[TPID] )","The name 'Count of TPID in Security Override' is self-explanatory as it indicates the measure counts TPID in the security override table, which aligns with the context showing COUNT of TPID.",The name 'Count of TPID in Security Override' accurately reflects the calculation of counting TPID in the DimSecurityOverride table.,The abbreviation 'TPID' is a standard business term and is not cryptic.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Security Measures,CurrentUserAlias,"UPPER(LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME())-1))",,warning,No,,No,,No,,No,,"CurrentUserAlias -> Security Measures + UPPER(LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME())-1))","The name 'CurrentUserAlias' is self-explanatory as it indicates the measure retrieves the alias of the current user, which aligns with the context showing extraction of the alias from USERPRINCIPALNAME.",The name 'CurrentUserAlias' accurately reflects the calculation of extracting the alias of the current user.,There are no problematic abbreviations in the name 'CurrentUserAlias'.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Security Measures,CurrentUserAliasQuotaCheck,"LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))",,good,No,,No,,No,,Yes,,"CurrentUserAliasQuotaCheck -> Security Measures + LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))","The name 'CurrentUserAliasQuotaCheck' is self-explanatory as it indicates the measure checks the quota for the current user's alias, which aligns with the context showing extraction of the alias from USERPRINCIPALNAME.",The name 'CurrentUserAliasQuotaCheck' accurately reflects the calculation of checking the quota for the current user's alias.,There are no problematic abbreviations in the name 'CurrentUserAliasQuotaCheck'.,1.6999999999999997,1.6999999999999997,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00
