Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Overall_Score,Max_Overall_Score,Confidence_Score,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
Account,TPID Count,COUNT( Account[TPID] ),,good,No,,No,,No,,Yes,,TPID Count -> Account + COUNT( Account[TPID] ),The name 'TPID Count' is self-explanatory as it indicates that the measure counts the TPID field in the Account table.,"The name accurately reflects the calculation, which is a count of the TPID field in the Account table.",There are no problematic abbreviations in the name. 'TPID' is a standard abbreviation for 'Third Party Identifier' and is widely understood in business contexts.,1.6999999999999997,1.6999999999999997,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00
Account,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",,warning,No,,No,,Yes,tpid count,No,,"# Accounts w/ Unified or Premier -> Account + CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes"")) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )",The name '# Accounts w/ Unified or Premier' is self-explanatory as it indicates the measure counts accounts with Unified or Premier status.,"The name reflects the calculation, which filters accounts with 'Has Premier Unified' set to 'Yes' and counts the TPID field.",There are no problematic abbreviations. The use of '#' for 'number of' and 'w/' for 'with' are common and widely understood.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,ATQ Latest,AVERAGE(Account[ATQ]),,critical,No,,No,,No,,No,,ATQ Latest -> Account + AVERAGE(Account[ATQ]),The name 'ATQ Latest' is not self-explanatory as 'ATQ' is not a standard abbreviation and its meaning is unclear without additional context.,"The name does not reflect the calculation, which is the average of the ATQ field. The meaning of 'ATQ' is unclear.","The abbreviation 'ATQ' is cryptic and not widely understood, making the name unclear.",0.4,1.6999999999999997,0.23529411764705888,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,1,RED,#FF0000
Account,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),,warning,No,,No,,No,,No,,Understands Strategic Priorities Latest -> Account + AVERAGE(Account[UnderstandsStrategicPriorities]),The name 'Understands Strategic Priorities Latest' is self-explanatory as it indicates the measure relates to the latest understanding of strategic priorities.,"The name reflects the calculation, which is the average of the 'UnderstandsStrategicPriorities' field.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),,warning,No,,No,,No,,No,,Identify Right Solutions Based on Needs Latest -> Account + AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),The name 'Identify Right Solutions Based on Needs Latest' is self-explanatory as it indicates the measure relates to identifying the right solutions based on needs.,"The name reflects the calculation, which is the average of the 'IdentifyRightSolutionsBasedonNeeds' field.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",,critical,No,,No,,No,,No,,"Delta ATQ -> Account + IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",The name 'Delta ATQ' is not self-explanatory as 'ATQ' is not a standard abbreviation and its meaning is unclear.,"The name does not reflect the calculation, which involves checking if the average of ATQ is zero and returning the average of delta_ATQ.","The abbreviation 'ATQ' is cryptic and not widely understood, making the name unclear.",0.4,1.6999999999999997,0.23529411764705888,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,1,RED,#FF0000
Account,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",,warning,No,,No,,No,,No,,"Delta Understands Strategic Priorities -> Account + IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",The name 'Delta Understands Strategic Priorities' is self-explanatory as it indicates the measure relates to the change (delta) in understanding strategic priorities.,"The name reflects the calculation, which involves checking if the average of 'UnderstandsStrategicPriorities' is zero and returning the average of 'delta_UnderstandsStrategicPriorities'.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",,warning,No,,No,,No,,No,,"Delta Identify Right Solutions Based on Needs -> Account + IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",The name 'Delta Identify Right Solutions Based on Needs' is self-explanatory as it indicates the measure relates to the change (delta) in identifying the right solutions based on needs.,"The name reflects the calculation, which involves checking if the average of 'IdentifyRightSolutionsBasedonNeeds' is zero and returning the average of 'delta_IdentifyRightSolutionsBasedonNeeds'.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",,warning,No,,No,,No,,No,,"% of Accounts with Exec Sponsor -> Account + var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",The name '% of Accounts with Exec Sponsor' is self-explanatory as it indicates the measure calculates the percentage of accounts with an executive sponsor.,"The name reflects the calculation, which determines the percentage of accounts with a non-blank 'executivesponsorid'.",There are no problematic abbreviations. 'Exec' is a common abbreviation for 'Executive' and is widely understood.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),,warning,No,,No,,No,,No,,Helps Maximize Solutions Latest -> Account + AVERAGE(Account[HelpsMaximizeSolutions]),The name 'Helps Maximize Solutions Latest' is self-explanatory as it indicates the measure relates to the latest data on helping maximize solutions.,"The name reflects the calculation, which is the average of the 'HelpsMaximizeSolutions' field.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Delta Helps Maximize Solutions Value,"IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",,warning,No,,No,,No,,No,,"Delta Helps Maximize Solutions Value -> Account + IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",The name 'Delta Helps Maximize Solutions Value' is self-explanatory as it indicates the measure relates to the change (delta) in helping maximize solutions value.,"The name reflects the calculation, which involves checking if the average of 'HelpsMaximizeSolutions' is zero and returning the average of 'delta_HelpsMaximizeSolutions'.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Delta Joint Planning Addresses Needs,"IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",,warning,No,,No,,No,,No,,"Delta Joint Planning Addresses Needs -> Account + IF(AVERAGE(Account[JointPlanningAddressesNeeds])=0,"""",AVERAGE(Account[delta_JointPlanningAddressesNeeds]))",The name 'Delta Joint Planning Addresses Needs' is self-explanatory as it indicates the measure relates to the change (delta) in joint planning addressing needs.,"The name reflects the calculation, which involves checking if the average of 'JointPlanningAddressesNeeds' is zero and returning the average of 'delta_JointPlanningAddressesNeeds'.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Joint Planning Addresses Needs,AVERAGE(Account[JointPlanningAddressesNeeds]),,warning,No,,No,,No,,No,,Joint Planning Addresses Needs -> Account + AVERAGE(Account[JointPlanningAddressesNeeds]),The name 'Joint Planning Addresses Needs' is self-explanatory as it indicates the measure relates to joint planning addressing needs.,"The name reflects the calculation, which is the average of the 'JointPlanningAddressesNeeds' field.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Delta Continuous Relationship Building,"IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",,warning,No,,No,,No,,No,,"Delta Continuous Relationship Building -> Account + IF(AVERAGE(Account[ContinuousRelationshipBuilding])=0,"""",AVERAGE(Account[delta_ContinuousRelationshipBuilding]))",The name 'Delta Continuous Relationship Building' is self-explanatory as it indicates the measure relates to the change (delta) in continuous relationship building.,"The name reflects the calculation, which involves checking if the average of 'ContinuousRelationshipBuilding' is zero and returning the average of 'delta_ContinuousRelationshipBuilding'.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,Continuous Relationship Building,AVERAGE(Account[ContinuousRelationshipBuilding]),,warning,No,,No,,No,,No,,Continuous Relationship Building -> Account + AVERAGE(Account[ContinuousRelationshipBuilding]),The name 'Continuous Relationship Building' is self-explanatory as it indicates the measure relates to continuous relationship building.,"The name reflects the calculation, which is the average of the 'ContinuousRelationshipBuilding' field.",There are no problematic abbreviations in the name.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
Account,% of Accounts with sep,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,No,,"% of Accounts with sep -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[issep]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )","The name '% of Accounts with sep' is self-explanatory within the context, as it indicates the measure calculates the percentage of accounts with the 'sep' attribute.","The name accurately reflects the calculation in the context, which divides the count of accounts with 'issep' = 'yes' by the total count of accounts.",The abbreviation 'sep' is cryptic and does not clearly convey its meaning.,1.0,1.6999999999999997,0.5882352941176472,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.0,0.4,1,RED,#FF0000
Account,% of Accounts with ACSP,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,No,,"% of Accounts with ACSP -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isacsp]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )","The name '% of Accounts with ACSP' is self-explanatory within the context, as it indicates the measure calculates the percentage of accounts with the 'ACSP' attribute.","The name accurately reflects the calculation in the context, which divides the count of accounts with 'isacsp' = 'yes' by the total count of accounts.",The abbreviation 'ACSP' is cryptic and does not clearly convey its meaning.,1.0,1.6999999999999997,0.5882352941176472,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.0,0.4,1,RED,#FF0000
Account,% of Accounts with APT,"var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den)",,critical,No,,No,,Yes,tpid count,No,,"% of Accounts with APT -> Account + var den=[TPID Count]
var num=CALCULATE([TPID Count],keepfilters(Account[isapt]=""yes""))

RETURN DIVIDE(num,den) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )","The name '% of Accounts with APT' is self-explanatory within the context, as it indicates the measure calculates the percentage of accounts with the 'APT' attribute.","The name accurately reflects the calculation in the context, which divides the count of accounts with 'isapt' = 'yes' by the total count of accounts.",The abbreviation 'APT' is cryptic and does not clearly convey its meaning.,1.0,1.6999999999999997,0.5882352941176472,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.0,0.4,1,RED,#FF0000
