From_Table,From_Column,To_Table,To_Column,Relationship_Type,Issue_Severity,Cardinality,Cross_Filter_Direction,Business_Pattern,Data_Compatibility,Naming_Quality,Performance_Impact,Column_Compatibility_Score,Cardinality_Score,Naming_Score,Cross_Filter_Score,Performance_Score,Overall_Score,Score_Category,Score_Rationale,Severity_Priority,Severity_Color,Severity_Hex_Color,Severity_Visual
PY Trending,Business Type,Business Type,Business Type,EXISTING_PROBLEMATIC,critical,Unknown,Single,generic,poor,standard,high,0.0,0.0,0.2,0.15,0.0,0.35,Poor,"The relationship between 'PY Trending[Business Type]' and 'Business Type[Business Type]' has incompatible data types or poor data alignment. Verify that the columns have matching data types and sufficient overlap. Additionally, the cardinality is unknown, which prevents proper evaluation of the relationship's appropriateness. Ensure the cardinality is defined and aligns with business logic. Optimize the relationship for performance, as it currently has a high performance impact.",1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,Business Type,Business Type,Business Type,EXISTING_PROBLEMATIC,critical,Unknown,Single,generic,poor,standard,high,0.0,0.0,0.2,0.15,0.0,0.35,Poor,"The relationship between 'Trending[Business Type]' and 'Business Type[Business Type]' has incompatible data types or poor data alignment. Verify that the columns have matching data types and sufficient overlap. Additionally, the cardinality is unknown, which prevents proper evaluation of the relationship's appropriateness. Ensure the cardinality is defined and aligns with business logic. Optimize the relationship for performance, as it currently has a high performance impact.",1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,DatasetVersionkey,Trending Week,DatasetVersionKey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality of the relationship explicitly (likely Many-to-One). Consider improving naming conventions for clarity.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality of the relationship explicitly (likely Many-to-One). Consider improving naming conventions for clarity.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality of the relationship explicitly (likely Many-to-One). Consider improving naming conventions for clarity.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Close Rates,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality of the relationship explicitly (likely Many-to-One). Consider improving naming conventions for clarity.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Close Rates,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality of the relationship explicitly (likely Many-to-One). Consider improving naming conventions for clarity.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality of the relationship explicitly (likely Many-to-One). Consider improving naming conventions for clarity.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,Fiscal Quarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,date_relationship,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality of the relationship explicitly (likely Many-to-One). Ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
PY Trending,Fiscal Quarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,date_relationship,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality of the relationship explicitly (likely Many-to-One). Ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
