Table,Measure,Expression,Description,Table_Tokens,Measure_Tokens,Expression_Tokens,Description_Tokens,Total_Row_Tokens,Normalized_Expression,Has_Empty_Expression,Has_Duplicate,Duplicate_Measure_Names,Uses_IFERROR,Uses_INTERSECT,TREATAS_Recommendation,Uses_Division_Instead_Of_DIVIDE,DIVIDE_Recommendation,Uses_FILTER_In_CALCULATE,FILTER_CALCULATE_Recommendation,Uses_FILTER_With_Measure,FILTER_MEASURE_Recommendation,Uses_Percentage_Syntax,PERCENTAGE_Recommendation,Direct_Measure_Reference,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,DAX_Recommendations,Critical_Score,Max_Critical_Score,Issue_Score,Max_Issue_Score,Warning_Score,Max_Warning_Score,Total_DAX_Score,Max_Total_DAX_Score,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Is_Name_Not_Reflecting_Expression,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
User,Filters Applied Icon,"""🗸""",,1,3,5,0,20,"""🗸""",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
User,Last Refresh Date,"""🕘""",,1,3,5,0,20,"""🕘""",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
User,Information Icon,"""i""",,1,2,3,0,17,"""i""",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
User,CURRENT_USER,"LEFT(USERPRINCIPALNAME(),FIND(""@"",USERPRINCIPALNAME())-1)",,1,2,20,0,34,"left(userprincipalname(),find(""@"",userprincipalname())-1)",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CURRENT_USER' does not clearly indicate that it extracts the username from the email address.,0.0,"The name does not reflect the expression, which extracts the username from the email address.",0.0,The use of uppercase and underscore makes the name less readable and more cryptic.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Close Rates,Average Close Rate,"DIVIDE((DIVIDE(SUM('Close Rates'[Q-1CloseRateNumerator]),SUM('Close Rates'[Q-1CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-2CloseRateNumerator]),SUM('Close Rates'[Q-2CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-3CloseRateNumerator]),SUM('Close Rates'[Q-3CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-4CloseRateNumerator]),SUM('Close Rates'[Q-4CloseRateDenominator]),0)),4,0)",,2,3,134,0,150,"divide((divide(sum('close rates'[q-1closeratenumerator]),sum('close rates'[q-1closeratedenominator]),0) +divide(sum('close rates'[q-2closeratenumerator]),sum('close rates'[q-2closeratedenominator]),0) +divide(sum('close rates'[q-3closeratenumerator]),sum('close rates'[q-3closeratedenominator]),0) +divide(sum('close rates'[q-4closeratenumerator]),sum('close rates'[q-4closeratedenominator]),0)),4,0)",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Close Rates,Pipeline Target, [QPC Goal],,2,2,5,0,21,[qpc goal],False,No,,No,No,,No,,No,,No,,No,,Yes,No,,Yes,qpc goal,DIRECT REFERENCE: This measure is a simple reference to another measure - consider consolidating or adding business logic,0.5,0.5,0.25,0.35,0.15,0.15,0.9,1.0,1.0,,0.5,,0.5,,2.0,1.0,0.9666666666666667,good,4,GREEN,#00FF00
Close Rates,Pipeline Target Unround,"IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0))",,2,4,74,0,91,"if(calculate(divide(1,[average close rate],0),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0)>3,3,calculate(divide(1,[average close rate],0),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,average close rate,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Close Rates,QPC Goal," IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(ROUND(DIVIDE(1,[Average Close Rate],BLANK()),2),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)) ",,2,3,80,0,97,"if(calculate(divide(1,[average close rate],0),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0)>3,3,calculate(round(divide(1,[average close rate],blank()),2),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,average close rate,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The abbreviation 'QPC' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation of a quota based on the average close rate.,0.0,The abbreviation 'QPC' is cryptic and not descriptive.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline Coverage to Budget,"VAR X = [Billed Budget]- SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,5,77,0,95,"var x = [billed budget]- sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = sum ( 'trending'[qualifiedpipeline] ) + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,billed budget,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,5,78,0,96,"var x = [billed forecast] - sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = sum ( 'trending'[qualifiedpipeline] ) + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,billed forecast,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,% Committed,"DIVIDE([Committed + Risk Pipeline],[Qualified Pipeline],BLANK())",,1,3,14,0,29,"divide([committed + risk pipeline],[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"committed + risk pipeline, qualified pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,% Upside,"DIVIDE([Uncommitted + Upside Pipeline],[Qualified Pipeline],BLANK())",,1,3,17,0,32,"divide([uncommitted + upside pipeline],[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"qualified pipeline, uncommitted + upside pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Actual + Schedule,SUM(Trending[ActualBilledRevenue])+SUM(Trending[ScheduledBilledRevenue]),,1,3,18,0,33,sum(trending[actualbilledrevenue])+sum(trending[scheduledbilledrevenue]),False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,DBF VTB $,[Total DBF] - [Billed Budget],,1,5,11,0,27,[total dbf] - [billed budget],False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"billed budget, total dbf",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The abbreviation 'DBF VTB $' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation of the difference between 'Total DBF' and 'Billed Budget'.,0.0,The abbreviation 'DBF VTB $' is cryptic and not descriptive.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,DBF VTF $,[Total DBF] - [Billed Forecast],,1,5,11,0,27,[total dbf] - [billed forecast],False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"billed forecast, total dbf",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The abbreviation 'DBF VTF $' is not self-explanatory without additional context.,0.0,The name does not clearly reflect the calculation of the difference between 'Total DBF' and 'Billed Forecast'.,0.0,The abbreviation 'DBF VTF $' is cryptic and not descriptive.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline with Close Plan Attach,"DIVIDE (
    SUM ( Trending[QPClosePlanAttach_Num] ),
    SUM ( Trending[QPClosePlanAttach_Den] ),
    BLANK ()
)",,1,6,35,0,53,"divide ( sum ( trending[qpcloseplanattach_num] ), sum ( trending[qpcloseplanattach_den] ), blank () )",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,% Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] = ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,1,2,40,0,54,"var x = calculate( [qualified pipeline], keepfilters(product[commercial cloud flag] = ""commercial cloud"" ) ) return divide(x,[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,qualified pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The '%' symbol is an abbreviation and 'Cloud' is vague without additional context.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,% Non Cloud,"VAR X = CALCULATE( [Qualified Pipeline], KEEPFILTERS(Product[Commercial Cloud Flag] <> ""Commercial Cloud"" ) )

RETURN DIVIDE(X,[Qualified Pipeline],BLANK())",,1,3,40,0,55,"var x = calculate( [qualified pipeline], keepfilters(product[commercial cloud flag] <> ""commercial cloud"" ) ) return divide(x,[qualified pipeline],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,qualified pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The '%' symbol is an abbreviation and 'Non Cloud' is vague without additional context.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,DBF VTB %,"DIVIDE([DBF VTB $],[Billed Budget],BLANK())",,1,5,16,0,32,"divide([dbf vtb $],[billed budget],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"billed budget, dbf vtb $",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'DBF VTB %' is cryptic and does not explain what it calculates.,0.0,The name does not reflect the calculation of the ratio between 'DBF VTB $' and 'Billed Budget'.,0.0,The name uses unexplained abbreviations like 'DBF' and 'VTB'.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline in High Stage,"DIVIDE (
    SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)

",,1,5,27,0,45,"divide ( sum ( trending[qualifiedpipeline60] ), sum ( trending[qualifiedpipeline] ), blank() )",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline in Low Stages,"DIVIDE (
    SUM ( Trending[QualifiedPipeline] ) - SUM ( Trending[QualifiedPipeline60] ),
    SUM ( Trending[QualifiedPipeline] ),
    BLANK()
)
",,1,6,36,0,55,"divide ( sum ( trending[qualifiedpipeline] ) - sum ( trending[qualifiedpipeline60] ), sum ( trending[qualifiedpipeline] ), blank() )",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Uncommitted + Upside Pipeline,[Uncommitted Pipeline] + [Uncommitted Upside Pipeline],,1,7,15,0,34,[uncommitted pipeline] + [uncommitted upside pipeline],False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"uncommitted pipeline, uncommitted upside pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Budget,"VAR X = [Billed Budget] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = [Committed + Risk Pipeline] + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,4,74,0,90,"var x = [billed budget] - sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = [committed + risk pipeline] + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"billed budget, committed + risk pipeline",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'CPC to Budget' is not self-explanatory without additional context.,0.0,The name does not clearly describe the calculation involving 'Billed Budget' and 'Committed + Risk Pipeline'.,0.0,The abbreviation 'CPC' is not explained.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
