Table,Measure,Expression,Description,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Unqualified_Measures_Score,Unqualified_Measures_Explanation,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Is_Name_Not_Reflecting_Expression,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
DimCustomer,# Accounts,DISTINCTCOUNT(DimCustomer[TPID]),,No,,No,,No,,Yes,,# Accounts -> DimCustomer + DISTINCTCOUNT(DimCustomer[TPID]),0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
DimCustomer,Step1Done,"if(OR(ISFILTERED(DimCustomer[TPIDTxt]),ISFILTERED(DimCustomer[TP Name Search])),""Yes"",""No"")",,No,,No,,No,,No,,"Step1Done -> DimCustomer + if(OR(ISFILTERED(DimCustomer[TPIDTxt]),ISFILTERED(DimCustomer[TP Name Search])),""Yes"",""No"")",0.2,No qualified references - simpler measure,0.0,"The name 'Step1Done' does not clearly indicate what it calculates, even with the context provided.",0.0,The name 'Step1Done' does not reflect the logic of checking filters on TPIDTxt or TP Name Search.,0.4,,0.4,0.4,0.2,critical,1,RED,#FF0000
DimPartner,# Partners,COUNT(DimPartner[PartnerKey]),,No,,No,,No,,No,,# Partners -> DimPartner + COUNT(DimPartner[PartnerKey]),0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
DimSourceRefreshDetails,LastReportRefresh,"CONCATENATE(""Report last published: "",MAX(DimSourceRefreshDetails[LastReportRefreshDate]))",,No,,No,,No,,No,,"LastReportRefresh -> DimSourceRefreshDetails + CONCATENATE(""Report last published: "",MAX(DimSourceRefreshDetails[LastReportRefreshDate]))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
DimSourceRefreshDetails,TXT Revenue Refresh LINE,"
""🕘 MSXI refreshed ""
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""PBIX"")) 
& "", incl. ACR data from "" 
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""OCDM Azure Usage""))",,No,,No,,No,,No,,"TXT Revenue Refresh LINE -> DimSourceRefreshDetails + 
""🕘 MSXI refreshed ""
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""PBIX"")) 
& "", incl. ACR data from "" 
& CALCULATE(max(DimSourceRefreshDetails[UpstreamRefreshDate]), filter(DimSourceRefreshDetails, DimSourceRefreshDetails[DataCategory] = ""OCDM Azure Usage""))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
DimSourceRefreshDetails,Upstream Source Refreshed,"CONCATENATE(""Upstream source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage""))",,No,,No,,No,,No,,"Upstream Source Refreshed -> DimSourceRefreshDetails + CONCATENATE(""Upstream source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage""))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
DimSourceRefreshDetails,ADG Source Refreshed,"CONCATENATE(""Upstream ADG source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""AzureDateGrain""))",,No,,No,,No,,No,,"ADG Source Refreshed -> DimSourceRefreshDetails + CONCATENATE(""Upstream ADG source last refreshed: "",CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""AzureDateGrain""))",0.2,No qualified references - simpler measure,0.0,"The abbreviation 'ADG' is not explained in the context, making the name unclear.",0.0,"The abbreviation 'ADG' is not explained, so the name does not clearly reflect the calculation.",0.0,The abbreviation 'ADG' is unclear and not explained.,0.0,0.0,0.0,critical,1,RED,#FF0000
Security Measures,Count of TPID in Security Override,"
// FOR SECURITY MODEL. DO NOT EDIT
COUNT ( 'DimSecurityOverride'[TPID] )",,No,,No,,No,,No,,"Count of TPID in Security Override -> Security Measures + 
// FOR SECURITY MODEL. DO NOT EDIT
COUNT ( 'DimSecurityOverride'[TPID] )",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Security Measures,CurrentUserAlias,"UPPER(LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME())-1))",,No,,No,,No,,No,,"CurrentUserAlias -> Security Measures + UPPER(LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME())-1))",0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
Security Measures,CurrentUserAliasQuotaCheck,"LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))",,No,,No,,No,,Yes,,"CurrentUserAliasQuotaCheck -> Security Measures + LEFT(USERPRINCIPALNAME(), SEARCH(""@"",USERPRINCIPALNAME()))",0.2,No qualified references - simpler measure,0.0,"The name 'CurrentUserAliasQuotaCheck' is not self-explanatory, even with the context provided.",0.0,The name does not clearly describe the logic of extracting the user alias and checking quotas.,0.0,The abbreviation 'QuotaCheck' is unclear and not standard.,0.0,0.0,0.0,critical,1,RED,#FF0000
