Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Overall_Score,Max_Overall_Score,Confidence_Score,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
DimCustomer,# Accounts,DISTINCTCOUNT(DimCustomer[TPID]),,good,No,,No,,No,,Yes,,# Accounts -> DimCustomer + DISTINCTCOUNT(DimCustomer[TPID]),"The name '# Accounts' is self-explanatory as it clearly indicates it counts accounts, which aligns with the context showing DISTINCTCOUNT of TPID.","The name '# Accounts' accurately reflects the calculation of DISTINCTCOUNT(DimCustomer[TPID]), which counts unique accounts.",There are no problematic abbreviations in the name '# Accounts'. The '#' symbol is a widely understood abbreviation for 'number of'.,1.6999999999999997,1.6999999999999997,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00
DimCustomer,INT - # Customers,"
// Count of all customers by TPID
COUNT ( DimCustomer[TPID] )",,warning,No,,No,,No,,No,,"INT - # Customers -> DimCustomer + 
// Count of all customers by TPID
COUNT ( DimCustomer[TPID] )","The name 'INT - # Customers' is self-explanatory as it indicates it counts customers, and the context confirms it counts TPID.","The name 'INT - # Customers' reflects the calculation of COUNT(DimCustomer[TPID]), which counts customers.",There are no problematic abbreviations in the name 'INT - # Customers'. Both 'INT' and '#' are standard abbreviations.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimCustomer,# Major Accounts,"CALCULATE([# Accounts],DimCustomer[Segment] in {""Major Commercial"",""Major Public Sector""})",,warning,No,,No,,Yes,# accounts,No,,"# Major Accounts -> DimCustomer + CALCULATE([# Accounts],DimCustomer[Segment] in {""Major Commercial"",""Major Public Sector""}) | REFERENCES: # Accounts -> DimCustomer + DISTINCTCOUNT(DimCustomer[TPID])","The name '# Major Accounts' is self-explanatory as it indicates it counts major accounts, which aligns with the context filtering accounts by 'Major Commercial' and 'Major Public Sector' segments.","The name '# Major Accounts' reflects the calculation of CALCULATE([# Accounts], DimCustomer[Segment] in {""Major Commercial"", ""Major Public Sector""}), which counts major accounts.",There are no problematic abbreviations in the name '# Major Accounts'. The '#' symbol is widely understood.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimCustomer,# Strategic Accounts,"CALCULATE([# Accounts],DimCustomer[Segment] in {""Strategic Commercial"",""Strategic Public Sector""})",,warning,No,,No,,Yes,# accounts,No,,"# Strategic Accounts -> DimCustomer + CALCULATE([# Accounts],DimCustomer[Segment] in {""Strategic Commercial"",""Strategic Public Sector""}) | REFERENCES: # Accounts -> DimCustomer + DISTINCTCOUNT(DimCustomer[TPID])","The name '# Strategic Accounts' is self-explanatory as it indicates it counts strategic accounts, which aligns with the context filtering accounts by 'Strategic Commercial' and 'Strategic Public Sector' segments.","The name '# Strategic Accounts' reflects the calculation of CALCULATE([# Accounts], DimCustomer[Segment] in {""Strategic Commercial"", ""Strategic Public Sector""}), which counts strategic accounts.",There are no problematic abbreviations in the name '# Strategic Accounts'. The '#' symbol is widely understood.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimCustomer,# SMC Accounts,"CALCULATE([# Accounts],DimCustomer[Segment] in {""Small, Medium & Corporate Commercial"",""Small, Medium & Corporate Government""})",,warning,No,,No,,Yes,# accounts,No,,"# SMC Accounts -> DimCustomer + CALCULATE([# Accounts],DimCustomer[Segment] in {""Small, Medium & Corporate Commercial"",""Small, Medium & Corporate Government""}) | REFERENCES: # Accounts -> DimCustomer + DISTINCTCOUNT(DimCustomer[TPID])","The name '# SMC Accounts' is self-explanatory as it indicates it counts accounts in the 'Small, Medium & Corporate' segment, which aligns with the context filtering accounts by relevant segments.","The name '# SMC Accounts' reflects the calculation of CALCULATE([# Accounts], DimCustomer[Segment] in {""Small, Medium & Corporate Commercial"", ""Small, Medium & Corporate Government""}), which counts SMC accounts.","There are no problematic abbreviations in the name '# SMC Accounts'. 'SMC' is a standard abbreviation for 'Small, Medium & Corporate'.",1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimCustomer,# AEs,CALCULATE(DISTINCTCOUNT(DimCustomer[AE])),,good,No,,No,,No,,Yes,,# AEs -> DimCustomer + CALCULATE(DISTINCTCOUNT(DimCustomer[AE])),"The name '# AEs' is self-explanatory as it indicates it counts Account Executives (AEs), which aligns with the context showing DISTINCTCOUNT of DimCustomer[AE].","The name '# AEs' reflects the calculation of DISTINCTCOUNT(DimCustomer[AE]), which counts unique Account Executives.",There are no problematic abbreviations in the name '# AEs'. 'AE' is a standard abbreviation for 'Account Executive'.,1.6999999999999997,1.6999999999999997,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00
DimCustomer,Step1Done,"if(OR(ISFILTERED(DimCustomer[TPIDTxt]),ISFILTERED(DimCustomer[TP Name Search])),""Yes"",""No"")",,critical,No,,No,,No,,No,,"Step1Done -> DimCustomer + if(OR(ISFILTERED(DimCustomer[TPIDTxt]),ISFILTERED(DimCustomer[TP Name Search])),""Yes"",""No"")",The name 'Step1Done' is not self-explanatory as it does not indicate its purpose or what it checks.,"The name 'Step1Done' does not reflect the calculation, which checks if filters are applied to TPIDTxt or TP Name Search.",There are no problematic abbreviations in the name 'Step1Done'.,0.8,1.6999999999999997,0.47058823529411775,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.2,0.0,0.4,0.4,0.4,1,RED,#FF0000
DimCustomer,NotFiltered,"if(or(isfiltered(DimCustomer[TPIDtxt]),isfiltered(DimCustomer[TP Name Search])),False,TRUE)",,warning,No,,No,,No,,No,,"NotFiltered -> DimCustomer + if(or(isfiltered(DimCustomer[TPIDtxt]),isfiltered(DimCustomer[TP Name Search])),False,TRUE)","The name 'NotFiltered' is self-explanatory as it indicates it checks whether filters are applied, which aligns with the context.","The name 'NotFiltered' reflects the calculation, which checks if TPIDTxt or TP Name Search is not filtered.",There are no problematic abbreviations in the name 'NotFiltered'.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimCustomer,# AEs excluding TBH,"CALCULATE(DISTINCTCOUNT(DimCustomer[AE]),DimCustomer[AE]<>""UNDEFINED"")",,warning,No,,No,,No,,No,,"# AEs excluding TBH -> DimCustomer + CALCULATE(DISTINCTCOUNT(DimCustomer[AE]),DimCustomer[AE]<>""UNDEFINED"")","The name '# AEs excluding TBH' is self-explanatory as it indicates it counts Account Executives excluding 'TBH', which aligns with the context.",The name '# AEs excluding TBH' reflects the calculation of DISTINCTCOUNT(DimCustomer[AE]) excluding 'UNDEFINED'.,There are no problematic abbreviations in the name '# AEs excluding TBH'. 'AE' and 'TBH' are standard abbreviations.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
DimCustomer,ActiveAccount,"SELECTEDVALUE(DimCustomer[TPAccountName],""Select a single Account to view"")",,warning,No,,No,,No,,No,,"ActiveAccount -> DimCustomer + SELECTEDVALUE(DimCustomer[TPAccountName],""Select a single Account to view"")","The name 'ActiveAccount' is self-explanatory as it indicates it retrieves the active account, which aligns with the context using SELECTEDVALUE.","The name 'ActiveAccount' reflects the calculation, which retrieves the selected TPAccountName or a default message.",There are no problematic abbreviations in the name 'ActiveAccount'.,1.4,1.6999999999999997,0.823529411764706,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00
