Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Measure_Complexity_Level,Measure_Complexity_Explanation,Calculation_Type,Complexity_Recommendations,Has_Commonly_Used_Measure,Commonly_Used_Explanation,DAX_Recommendations,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Measure_Complexity_Score,Measure_Complexity_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Overall_Score,Max_Overall_Score,Confidence_Score
User,Filters Applied Icon,"""🗸""",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name 'Filters Applied Icon' is self-explanatory as it clearly indicates it represents an icon related to filters being applied.,The name reflects the calculation as the measure returns a static icon (📸) which aligns with the name.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
User,Last Refresh Date,"""🕘""",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name 'Last Refresh Date' is self-explanatory as it indicates the measure relates to the last refresh date.,The name reflects the calculation as the measure returns a static icon (🕘) which aligns with the concept of a refresh date.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
User,Information Icon,"""i""",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name 'Information Icon' is self-explanatory as it clearly indicates it represents an icon for information.,The name reflects the calculation as the measure returns a static string ('i') which aligns with the concept of an information icon.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
User,CURRENT_USER,"LEFT(USERPRINCIPALNAME(),FIND(""@"",USERPRINCIPALNAME())-1)",,issue,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern; Moderate function nesting (4 nested functions)",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,No,Not referenced by any other measures in the model,,The name 'CURRENT_USER' is self-explanatory as it indicates the measure relates to the current user.,The name reflects the calculation as the measure extracts the current user's alias from their email address.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.4,2.0,0.7
Close Rates,Average Close Rate,"DIVIDE((DIVIDE(SUM('Close Rates'[Q-1CloseRateNumerator]),SUM('Close Rates'[Q-1CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-2CloseRateNumerator]),SUM('Close Rates'[Q-2CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-3CloseRateNumerator]),SUM('Close Rates'[Q-3CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-4CloseRateNumerator]),SUM('Close Rates'[Q-4CloseRateDenominator]),0)),4,0)",,good,No,,No,,No,,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Ratio or percentage calculation with clear business logic; Long expression (400 characters); Excessive function nesting (14 nested functions); Well-formatted with line breaks",ratio_percentage,CRITICAL - High complexity measure needs restructuring and simplification,Yes,"Referenced by 2 measure(s): Pipeline Target Unround, QPC Goal",,The name 'Average Close Rate' is self-explanatory as it indicates the measure calculates an average close rate.,The name reflects the calculation as the measure calculates the average of close rates over four quarters.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Close Rates,Pipeline Target, [QPC Goal],,warning,Yes,Direct reference to: qpc goal,No,,Yes,qpc goal,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Undocumented or unclear calculation pattern",undocumented,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Add clear business documentation and consider simplifying unclear calculation pattern,Yes,"Referenced by 6 measure(s): QPC to Budget KPI, QPC to Forecast KPI, WW_QPC KPI and 3 more",DIRECT REFERENCE: This measure is a simple reference to another measure (Direct reference to: qpc goal) - which will cause confusion to data agents. Please consider removing this measure.,The name 'Pipeline Target' is self-explanatory as it indicates the measure relates to a target for the pipeline.,The name reflects the calculation as the measure calculates a pipeline target based on the QPC Goal.,There are no cryptic abbreviations in the name.,0.2,0.2,0.0,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5,2.0,0.75
Close Rates,Pipeline Target Unround,"IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0))",,good,No,,No,,Yes,average close rate,Low,Low complexity due to simple structure and clear purpose. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (249 characters); Moderate function nesting (7 nested functions); Single-line format reduces readability,ratio_percentage,"Break long formula into multiple lines for readability; Format CALCULATE function: CALCULATE(\n    expression,\n    filter1,\n    filter2\n)",Yes,"Referenced by 4 measure(s): Additional Pipeline Needed Latest Week, Additional Pipeline Needed Forecast Latest Week, Additional Pipeline Needed and 1 more",,The name 'Pipeline Target Unround' is self-explanatory as it indicates the measure calculates an unrounded pipeline target.,The name reflects the calculation as the measure calculates an unrounded pipeline target based on the Average Close Rate.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,2.0,2.0,1.0
Close Rates,QPC Goal," IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(ROUND(DIVIDE(1,[Average Close Rate],BLANK()),2),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)) ",,good,No,,No,,Yes,average close rate,Medium,Medium complexity due to moderate business logic or formatting. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (266 characters); High function nesting (9 nested functions); Single-line format reduces readability,ratio_percentage,"Break long formula into multiple lines for readability; Format CALCULATE function: CALCULATE(\n    expression,\n    filter1,\n    filter2\n)",Yes,Referenced by 1 measure(s): Pipeline Target,,The name 'QPC Goal' is self-explanatory as it indicates the measure relates to a Qualified Pipeline Coverage goal.,The name reflects the calculation as the measure calculates a QPC goal based on the Average Close Rate.,There are no cryptic abbreviations in the name as 'QPC' is a standard abbreviation for Qualified Pipeline Coverage.,0.2,0.2,0.2,0.2,0.3,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.85,2.0,0.925
Trending,Qualified Pipeline Coverage to Budget,"VAR X = [Billed Budget]- SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,good,No,,No,,Yes,billed budget,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Moderate length expression (264 characters); High function nesting (8 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,Yes,"Referenced by 5 measure(s): Qualified Pipeline Coverage to Budget MoM, Qualified Pipeline Coverage to Budget WoW, Qualified Pipeline Coverage to Budget YoY and 2 more",,The name 'Qualified Pipeline Coverage to Budget' is self-explanatory as it indicates the measure calculates pipeline coverage relative to the budget.,The name reflects the calculation as the measure calculates the ratio of qualified pipeline and run rate projections to the difference between billed budget and actual/scheduled billed revenue.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Trending,Qualified Pipeline Coverage to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,good,No,,No,,Yes,billed forecast,High,"High complexity due to complex logic, poor structure, or unclear purpose. Details: Complex calculation with multiple operations and conditions; Moderate length expression (267 characters); High function nesting (8 nested functions); Well-formatted with line breaks",complex_calculation,CRITICAL - High complexity measure needs restructuring and simplification; CRITICAL - Break complex calculation into multiple simpler measures for better maintainability,Yes,"Referenced by 4 measure(s): Qualified Pipeline Coverage to Forecast WoW, Qualified Pipeline Coverage to Forecast MoM, Qualified Pipeline Coverage to Forecast YoY and 1 more",,The name 'Qualified Pipeline Coverage to Forecast' is self-explanatory as it indicates the measure calculates pipeline coverage relative to the forecast.,The name reflects the calculation as the measure calculates the ratio of qualified pipeline and run rate projections to the difference between billed forecast and actual/scheduled billed revenue.,There are no cryptic abbreviations in the name.,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
