Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,Complexity Level,Has Description,Is Standard Measure,Standardized Calculation Logic Score,Naming Conventions Score,Overall Score,Sub-Rule Scores Breakdown,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Good,TPID Count,COUNT( Account[TPID] ),"Simple aggregation (SUM, COUNT, etc.)",Low,No,No,0.710,1.000,0.855,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.400, MN-002: 0.400, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Issue,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",Calculated measure with business logic,Medium,No,No,0.560,0.880,0.720,"ML-001: 0.200, ML-002: 0.150, ML-003: 0.000, ML-004: 0.210, MN-001: 0.400, MN-002: 0.320, MN-003: 0.160","Complex calculated measures should leverage standard business logic patterns. Break down into simpler components where possible and reuse common calculation elements.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,ATQ Latest,AVERAGE(Account[ATQ]),"Simple aggregation (SUM, COUNT, etc.)",Low,No,No,0.710,0.920,0.815,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.360, MN-002: 0.360, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),"Simple aggregation (SUM, COUNT, etc.)",Low,No,No,0.710,0.960,0.835,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),"Simple aggregation (SUM, COUNT, etc.)",Medium,No,No,0.710,0.960,0.835,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))","Simple aggregation (SUM, COUNT, etc.)",Medium,No,No,0.710,0.920,0.815,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.360, MN-002: 0.360, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",Calculated measure with business logic,Medium,No,No,0.560,0.960,0.760,"ML-001: 0.200, ML-002: 0.150, ML-003: 0.000, ML-004: 0.210, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Complex calculated measures should leverage standard business logic patterns. Break down into simpler components where possible and reuse common calculation elements.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",Calculated measure with business logic,Medium,No,No,0.560,0.960,0.760,"ML-001: 0.200, ML-002: 0.150, ML-003: 0.000, ML-004: 0.210, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Complex calculated measures should leverage standard business logic patterns. Break down into simpler components where possible and reuse common calculation elements.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",Ratio or percentage calculation,High,No,No,0.650,0.920,0.785,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.270, MN-001: 0.400, MN-002: 0.320, MN-003: 0.200","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Account,Warning,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),"Simple aggregation (SUM, COUNT, etc.)",Low,No,No,0.710,0.960,0.835,"ML-001: 0.200, ML-002: 0.210, ML-003: 0.000, ML-004: 0.300, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
