Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Have Same Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Duplicate Measure Definition Score,Duplicate Measure Definition Max Score,Standard Library Measures Score,Standard Library Measures Max Score,Business Documentation Quality Score,Business Documentation Quality Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Standards Score,DAX Reference Standards Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
User,Critical,Filters Applied Icon,"""🗸""",Undocumented,Yes,"Yes - The measure formula '🗸' is identical to other measures with similar icon-based formulas, serving no distinct business purpose.",No - This measure does not align with enterprise-standard measures like Total Sales or Gross Margin. It appears to be an ad-hoc visual indicator.,No - The formula '🗸' does not provide any calculation logic or business insight. It is unclear how this measure contributes to analytics.,"Low - The measure is extremely simple, with no nested functions or complex logic.",No - The name 'User.Filters Applied Icon' does not clearly reflect a calculation or business purpose. It is cryptic and lacks clarity.,"No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The formula does not reference any columns or tables, but it is syntactically correct for its purpose.",0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.250,0.300,0.200,The measure appears to be a visual indicator with no analytical value.,Replace this measure with a meaningful calculation or remove it if it serves no analytical purpose.,"Rename the measure to clearly reflect its purpose or calculation logic, if retained."
User,Critical,Last Refresh Date,"""🕘""",Undocumented,Yes,"Yes - The formula '🕘' is identical to other measures with similar icon-based formulas, serving no distinct business purpose.",No - This measure does not align with enterprise-standard measures. It appears to be an ad-hoc visual indicator.,No - The formula '🕘' does not provide any calculation logic or business insight. It is unclear how this measure contributes to analytics.,"Low - The measure is extremely simple, with no nested functions or complex logic.",No - The name 'User.Last Refresh Date' does not clearly reflect a calculation or business purpose. It is cryptic and lacks clarity.,"No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The formula does not reference any columns or tables, but it is syntactically correct for its purpose.",0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.250,0.300,0.200,The measure appears to be a visual indicator with no analytical value.,Replace this measure with a meaningful calculation or remove it if it serves no analytical purpose.,"Rename the measure to clearly reflect its purpose or calculation logic, if retained."
User,Critical,Information Icon,"""i""",Undocumented,Yes,"Yes - The formula 'i' is identical to other measures with similar icon-based formulas, serving no distinct business purpose.",No - This measure does not align with enterprise-standard measures. It appears to be an ad-hoc visual indicator.,No - The formula 'i' does not provide any calculation logic or business insight. It is unclear how this measure contributes to analytics.,"Low - The measure is extremely simple, with no nested functions or complex logic.",No - The name 'User.Information Icon' does not clearly reflect a calculation or business purpose. It is cryptic and lacks clarity.,"No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The formula does not reference any columns or tables, but it is syntactically correct for its purpose.",0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.250,0.300,0.200,The measure appears to be a visual indicator with no analytical value.,Replace this measure with a meaningful calculation or remove it if it serves no analytical purpose.,"Rename the measure to clearly reflect its purpose or calculation logic, if retained."
User,Issue,CURRENT_USER,"LEFT(USERPRINCIPALNAME(),FIND(""@"",USERPRINCIPALNAME())-1)",Calculated Measure,Yes,"No - The measure uses a unique formula to extract the username from the USERPRINCIPALNAME() function, which is not duplicated elsewhere in the dataset.",No - This measure is not a standard business measure as it serves a technical purpose rather than a business-focused calculation.,No - The calculation logic is technical and not immediately understandable to business users without explanation.,Medium - The measure uses nested functions (LEFT and FIND) but is not overly complex for its purpose.,Yes - The name 'CURRENT_USER' clearly reflects the measure's purpose of identifying the current user.,"No - No description is provided, which makes it harder for users to understand the measure's purpose.",Yes - The formula uses proper DAX syntax and references.,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,Identifies the current user for technical or security purposes.,Provide a description explaining the purpose of the measure and its business relevance. Consider whether this measure is necessary for business users or if it serves only a technical purpose.,The naming convention is appropriate; no changes are needed.
Close Rates,Critical,Average Close Rate,"DIVIDE((DIVIDE(SUM('Close Rates'[Q-1CloseRateNumerator]),SUM('Close Rates'[Q-1CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-2CloseRateNumerator]),SUM('Close Rates'[Q-2CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-3CloseRateNumerator]),SUM('Close Rates'[Q-3CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-4CloseRateNumerator]),SUM('Close Rates'[Q-4CloseRateDenominator]),0)),4,0)",Complex Calculation,Yes,"No - The formula is unique but overly complex, with nested DIVIDE functions and repeated logic.",No - This measure does not align with standard business patterns and seems to be custom-built for a specific use case.,No - The calculation logic is highly complex and not easily understandable without detailed documentation.,"High - The measure uses 14 nested functions and has a formula length of 400 characters, making it unnecessarily complex.",Yes - The name 'Average Close Rate' is descriptive and aligns with the calculation purpose.,"No - No description is provided, which makes it difficult for users to understand the measure's purpose and logic.",Yes - The formula uses proper DAX syntax and references.,0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.600,0.200,1.000,Calculates the average close rate across multiple periods.,"Simplify the formula by breaking it into smaller, reusable measures. Provide a clear description explaining the calculation logic and business relevance.",The naming convention is appropriate; no changes are needed.
Close Rates,Issue,Pipeline Target, [QPC Goal],Simple Aggregation,Yes,No - The measure references another measure ([QPC Goal]) and does not duplicate any other measure's definition.,No - This measure does not align with standard business patterns and seems to be specific to the Close Rates table.,"Yes - The calculation logic is straightforward, referencing another measure without additional complexity.","Low - The measure is simple, with no nested functions and a short formula length.",Yes - The name 'Pipeline Target' is descriptive and aligns with the calculation purpose.,"No - No description is provided, which makes it harder for users to understand the measure's purpose.",Yes - The formula uses proper DAX syntax and references.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Represents the pipeline target for close rates.,Provide a description explaining the purpose of the measure and its business relevance. Consider whether this measure aligns with enterprise standards.,The naming convention is appropriate; no changes are needed.
Close Rates,Critical,Pipeline Target Unround,"IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0))",Complex Calculation,Yes,"Yes - The formula is highly similar to 'Close Rates.QPC Goal' with minor differences in rounding logic, which suggests duplication without distinct business purpose.","No - The measure does not align with standard enterprise measures like Total Sales Value, Gross Margin, or YoY Growth.",No - The formula is overly complex with nested functions and lacks a clear explanation of its business purpose.,"High - The formula contains 7 nested functions and spans 249 characters, making it unnecessarily complex for business users.",No - The name does not clearly reflect the calculation logic or business purpose. 'Pipeline Target Unround' is cryptic and lacks clarity.,"No - No description is provided, making it difficult for users to understand the measure's purpose.","No - The formula uses inconsistent references, such as unqualified column references and unclear measure usage.",0.000,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.000,0.400,0.000,0.400,0.000,0.200,0.000,0.000,0.000,Unclear due to lack of description and cryptic naming.,Simplify the formula by reducing nested functions and clearly define its business purpose. Avoid duplication with other measures.,"Rename the measure to reflect its calculation logic and business purpose, such as 'Pipeline_Target_Unrounded_Value'."
Close Rates,Critical,QPC Goal," IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(ROUND(DIVIDE(1,[Average Close Rate],BLANK()),2),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)) ",Complex Calculation,Yes,"Yes - The formula is highly similar to 'Close Rates.Pipeline Target Unround' with minor differences in rounding logic, which suggests duplication without distinct business purpose.","No - The measure does not align with standard enterprise measures like Total Sales Value, Gross Margin, or YoY Growth.",No - The formula is overly complex with nested functions and lacks a clear explanation of its business purpose.,"High - The formula contains 9 nested functions and spans 266 characters, making it unnecessarily complex for business users.",No - The name does not clearly reflect the calculation logic or business purpose. 'QPC Goal' is cryptic and lacks clarity.,"No - No description is provided, making it difficult for users to understand the measure's purpose.","No - The formula uses inconsistent references, such as unqualified column references and unclear measure usage.",0.000,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.000,0.400,0.000,0.400,0.000,0.200,0.000,0.000,0.000,Unclear due to lack of description and cryptic naming.,Simplify the formula by reducing nested functions and clearly define its business purpose. Avoid duplication with other measures.,"Rename the measure to reflect its calculation logic and business purpose, such as 'Qualified_Pipeline_Coverage_Goal'."
Trending,Issue,Qualified Pipeline Coverage to Budget,"VAR X = [Billed Budget]- SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,"No - The measure does not align with standard enterprise measures like Total Sales Value, Gross Margin, or YoY Growth.","Yes - The formula uses clear variable definitions (X and Y) to break down the calculation logic, making it easier to understand.",Medium - The formula contains 8 nested functions but uses variables to simplify readability.,"Yes - The name reflects the calculation logic and business purpose, aligning with naming standards.","No - No description is provided, which limits understanding of the measure's purpose.",Yes - The formula uses fully qualified column references and consistent measure referencing.,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,"Tracks pipeline coverage against budget, which is relevant for financial planning and analysis.",Consider aligning the measure with enterprise standards by documenting its business purpose and simplifying the formula further.,Ensure all measures follow the same naming conventions and provide descriptions for better user understanding.
Trending,Issue,Qualified Pipeline Coverage to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",Complex Calculation,Yes,No - The measure's formula is unique and does not duplicate other measures in the dataset.,No - The measure does not align with predefined enterprise standards like Total Sales Value or YoY Growth.,"No - The formula is complex, with nested functions and lacks a description to explain its business purpose.","High - The measure uses multiple nested functions and variables, making it difficult to interpret without additional documentation.","Yes - The name is descriptive and reflects the calculation purpose, aligning with naming convention standards.","No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses fully qualified column references and unqualified measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.100,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.650,0.300,1.000,Provides insights into pipeline coverage relative to forecasted revenue.,"Simplify the formula or provide detailed documentation to explain the calculation logic. Consider breaking down the measure into smaller, reusable components.","The naming convention is appropriate; however, adding a description would enhance usability and clarity."
