Table,Measure,Expression,Description,Table_Tokens,Measure_Tokens,Expression_Tokens,Description_Tokens,Total_Row_Tokens,Normalized_Expression,Has_Empty_Expression,Has_Duplicate,Duplicate_Measure_Names,Uses_IFERROR,Uses_INTERSECT,TREATAS_Recommendation,Uses_Division_Instead_Of_DIVIDE,DIVIDE_Recommendation,Uses_FILTER_In_CALCULATE,FILTER_CALCULATE_Recommendation,Uses_FILTER_With_Measure,FILTER_MEASURE_Recommendation,Uses_Percentage_Syntax,PERCENTAGE_Recommendation,Direct_Measure_Reference,Has_Qualified_Measure_References,Qualified_Referenced_Measures,DAX_Recommendations,Critical_Score,Max_Critical_Score,Issue_Score,Max_Issue_Score,Warning_Score,Max_Warning_Score,Total_DAX_Score,Max_Total_DAX_Score,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Name_Not_Reflecting,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
User,Filters Applied Icon,"""🗸""",,1,3,5,0,20,"""🗸""",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. It is unclear what 'Filters Applied Icon' means without additional context.,0.5,"The name does not reflect the expression, which is a Unicode character representing an icon.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
User,Last Refresh Date,"""🕘""",,1,3,5,0,20,"""🕘""",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. It is unclear how the Unicode character relates to the last refresh date.,0.5,"The name does not reflect the expression, which is a Unicode character representing an icon.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
User,Information Icon,"""i""",,1,2,3,0,17,"""i""",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. It is unclear what 'Information Icon' means without additional context.,0.5,"The name does not reflect the expression, which is a single character 'i'.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
User,CURRENT_USER,"LEFT(USERPRINCIPALNAME(),FIND(""@"",USERPRINCIPALNAME())-1)",,1,2,20,0,34,"left(userprincipalname(),find(""@"",userprincipalname())-1)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.5,"The name uses an uppercase format and underscores, which could be considered less user-friendly.",0.5,0.5,0.5,critical,1,RED,#FF0000
Close Rates,Average Close Rate,"DIVIDE((DIVIDE(SUM('Close Rates'[Q-1CloseRateNumerator]),SUM('Close Rates'[Q-1CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-2CloseRateNumerator]),SUM('Close Rates'[Q-2CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-3CloseRateNumerator]),SUM('Close Rates'[Q-3CloseRateDenominator]),0)
+DIVIDE(SUM('Close Rates'[Q-4CloseRateNumerator]),SUM('Close Rates'[Q-4CloseRateDenominator]),0)),4,0)",,2,3,134,0,150,"divide((divide(sum('close rates'[q-1closeratenumerator]),sum('close rates'[q-1closeratedenominator]),0) +divide(sum('close rates'[q-2closeratenumerator]),sum('close rates'[q-2closeratedenominator]),0) +divide(sum('close rates'[q-3closeratenumerator]),sum('close rates'[q-3closeratedenominator]),0) +divide(sum('close rates'[q-4closeratenumerator]),sum('close rates'[q-4closeratedenominator]),0)),4,0)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Close Rates,Pipeline Target, [QPC Goal],,2,2,5,0,21,[qpc goal],False,No,,No,No,,No,,No,,No,,No,,Yes,No,,DIRECT REFERENCE: This measure is a simple reference to another measure - consider consolidating or adding business logic,0.5,0.5,0.25,0.35,0.15,0.15,0.9,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. It is unclear what 'Pipeline Target' refers to without additional context.,0.5,"The name does not reflect the expression, which references another measure '[QPC Goal]'.",0.0,,1.5,0.5,0.7999999999999999,warning,3,YELLOW,#FFFF00
Close Rates,Pipeline Target Unround,"IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0))",,2,4,74,0,91,"if(calculate(divide(1,[average close rate],0),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0)>3,3,calculate(divide(1,[average close rate],0),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The term 'Unround' is ambiguous.,0.5,The name does not fully reflect the complex logic in the expression.,0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Close Rates,QPC Goal," IF(CALCULATE(DIVIDE(1,[Average Close Rate],0),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)>3,3,CALCULATE(ROUND(DIVIDE(1,[Average Close Rate],BLANK()),2),'Fiscal Period'[Fiscal Quarter]="""",LEN('Trending Week'[DatasetVersionKey])>0)) ",,2,3,80,0,97,"if(calculate(divide(1,[average close rate],0),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0)>3,3,calculate(round(divide(1,[average close rate],blank()),2),'fiscal period'[fiscal quarter]="""",len('trending week'[datasetversionkey])>0))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name does not clearly indicate what it calculates or represents. The abbreviation 'QPC' is unclear.,0.5,The name does not fully reflect the complex logic in the expression.,0.5,The abbreviation 'QPC' is not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Budget,"VAR X = [Billed Budget]- SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,5,77,0,95,"var x = [billed budget]- sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = sum ( 'trending'[qualifiedpipeline] ) + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Qualified Pipeline Coverage to Forecast,"VAR X = [Billed Forecast] - SUM ( 'Trending'[ActualBilledRevenue] )
            - SUM ( 'Trending'[ScheduledBilledRevenue] )

VAR Y = SUM ( 'Trending'[QualifiedPipeline]  ) + SUM('Trending'[RunRateProjections])


RETURN IF (X < 0, BLANK(),DIVIDE ( Y, X , BLANK() ))

",,1,5,78,0,96,"var x = [billed forecast] - sum ( 'trending'[actualbilledrevenue] ) - sum ( 'trending'[scheduledbilledrevenue] ) var y = sum ( 'trending'[qualifiedpipeline] ) + sum('trending'[runrateprojections]) return if (x < 0, blank(),divide ( y, x , blank() ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
